Sample:	TFf	TFm	TFw	STf	STm	STw	RNf	RNm	RNw	Paf	Pam	Paw	Skf	Skm	Skw	Spf	Spm	Spw	Cof	Com	Cow	All_female	All_male	All_wtr
gbr.1.175.t1	30.26362679	27.23069598	42.24752537	46.43358962	39.56759477	48.81523335	29.57901827	24.26761512	31.72391094	27.96795189	30.57486739	38.96878332	47.36097257	40.96504348	57.17492927	44.89848692	40.19445975	42.16348233	26.33741837	28.44658769	38.03582462	36.12015206	33.03526631	42.73281274
gbr.1.27.t1	19.57118781	20.76635174	31.92356365	30.25663784	31.17712758	40.79794244	50.75138538	58.18894194	87.6904803	22.7071035	23.77130556	32.3418986	34.41527312	38.69785671	37.51836209	27.19013501	32.11398168	37.76321904	21.67851134	29.35520434	42.24650385	29.51003343	33.43868136	44.32599571
gbr.1.40.t1	1.89800255	0.395033995	1.744453734	2.182804144	0.258205664	2.574357417	26.18871204	20.22835604	36.82532278	12.57973459	4.152116361	3.828365918	25.15104201	26.67149393	26.49794987	8.491980213	1.864752175	30.49153788	3.096765218	1.229450984	7.353841368	11.36986297	7.828487021	15.616547
gbr.1.49.t1	19.58203282	33.06666286	25.81597149	15.13578229	21.82692472	25.72104679	15.5695269	28.52188357	24.04060412	24.20506338	19.18180484	22.83244857	37.19836967	19.64408162	35.92870708	10.96508847	8.586107503	26.62004907	29.20883345	50.67870217	45.32802088	21.69495671	25.92945247	29.46954971
gbr.1.66.t1	89.41642095	88.95334167	112.7249179	77.94625165	85.38895874	84.15553347	134.3394489	125.7616977	203.2449844	47.319052	56.70990467	77.97355513	66.62418802	61.37218337	64.1380754	55.29854232	57.7460856	60.53629957	65.92112316	68.1440301	82.02296757	76.69500386	77.72517169	97.82804763
gbr.1.87.t1_gbr.1.88.t1	91.45515616	98.51258899	114.9952698	63.84930326	105.7340872	129.5988822	44.48027452	111.8683695	228.4789695	348.6444171	314.260593	436.9966358	1223.093544	820.9837113	1054.073839	1.062880551	0.339102004	4.258861928	49.00266791	47.89645503	137.0497806	260.2268919	214.2278439	300.7788913
gbr.10.58.t1	1.030116202	1.181143232	1.127774452	1.543800906	1.393912626	2.038042298	0.244727051	0.639464557	1.230949459	4.859919339	7.783966625	10.12623109	37.98816659	35.47304834	60.20788927	4.576416887	11.50312038	23.33811244	0.261682696	0.250668393	1.91189782	7.214975667	8.31790345	14.28298526
gbr.10.82.t1_gbr.10.83.t1	5.457133361	6.227461574	12.74600881	7.063424373	8.494145503	17.5605527	3.992370484	4.997117483	14.11175492	3.881326465	4.793311651	12.52094364	3.4438036	4.008727647	5.606913697	3.65528592	5.222089225	11.28704905	13.30943676	1.715827902	18.22510375	5.828968709	5.065525855	13.15118951
gbr.10.87.t1	79.4983092	42.93731071	105.4085022	52.43118452	35.0699751	81.41254589	25.48468516	13.35701287	31.66731332	68.40129659	36.81189405	85.92009759	43.17406598	24.35241899	44.83533928	35.55237014	27.99633312	59.12277196	26.16464269	9.071598775	44.86737866	47.24379347	27.08522052	64.74770699
gbr.100.20.t1_gbr.100.21.t1	23.79882913	28.62171096	38.77952508	33.37984888	40.05090248	44.13003926	27.34441767	27.28819489	32.30998846	30.90543888	30.29534666	47.45250131	44.49930548	32.10033322	52.75097262	26.58547771	17.86540906	33.29927095	22.98055548	22.45248293	44.85172477	29.92769618	28.38205431	41.93914606
gbr.100.51.t1	52.31392387	57.89991595	106.1224807	67.10524773	81.37107438	147.4475885	50.51049798	57.26370073	78.56637796	74.27637215	68.24273815	163.9402722	101.364068	100.874377	157.2598902	59.92805927	54.58247383	119.0926318	83.99031385	119.6043736	171.556248	69.92692612	77.11980766	134.8550699
gbr.100.55.t1	31.28609568	34.42199038	51.24162649	104.8471399	54.31778521	106.2291136	23.43879065	17.27708761	19.15803236	65.73760121	61.41468369	92.19772897	33.39916827	40.50667814	43.69670636	149.7687329	113.6521928	202.0711272	11.23387759	2.002460526	16.15197757	59.95877231	46.22755405	75.82090179
gbr.100.60.t1	12.59570886	11.85249825	10.53242342	4.010606024	6.784729002	6.313725029	3.244037901	5.136106832	6.990101796	13.39877421	16.39870255	20.48624051	34.17241491	21.38731748	38.73697485	5.030187776	7.272875823	10.85799499	6.414914917	20.11897903	16.55261013	11.26666351	12.70731557	15.78143868
gbr.101.1.t1	16.0114479	22.40617812	41.42609522	15.94327028	21.69408383	17.9473751	5.699040969	12.7272754	17.21109699	11.87941284	16.97312811	23.05518156	36.5404657	40.93661002	47.95781458	8.191281133	9.689932409	28.53517345	17.70196699	6.60407192	47.18432751	15.9952694	18.71875426	31.90243777
gbr.101.17.t1_gbr.101.18.t1	7839.948041	7716.868526	6604.745687	1987.367118	3305.193977	2340.23177	186.4068348	1070.190001	277.3611247	571.727791	570.8533926	567.3437906	2470.980371	2975.116115	3253.266193	181.7177263	153.0427685	311.3722502	42.29074947	34.42947804	173.6683819	1897.205519	2260.813465	1932.569885
gbr.101.45.t1	204.6696488	199.9286595	217.9595985	180.3904276	201.5459975	191.2955165	180.2763355	153.221398	212.8280497	137.1035543	149.1932305	132.7701148	360.536334	359.9699337	259.4546473	237.8034307	391.5390843	311.559813	167.6268048	154.5359517	190.7605253	209.7723622	229.9906079	216.6611807
gbr.101.7.t1	69.55618716	77.67938548	117.4499494	61.87690901	66.11607364	79.22317283	66.69023366	73.89777665	103.2261238	71.17677668	85.11912791	101.0055099	67.10785964	66.58047866	69.83622766	113.1922534	104.4759113	123.6564868	55.64577428	53.56076533	105.6475077	72.17799912	75.34707414	100.0064254
gbr.102.53.t1	24.76903217	28.42221657	48.60947619	28.84368042	34.14929291	36.74024886	44.84162463	45.31221718	54.83919638	7.707077719	6.158465995	8.047969411	8.58508893	14.1167721	5.899847938	41.62814036	52.8503711	69.730132	47.0196032	13.1576076	79.99110038	29.05632106	27.73813478	43.40828159
gbr.102.55.t1	20.46566944	24.61618055	39.1335448	15.93189247	20.41688794	18.8021112	26.6914357	34.71538802	54.037209	17.339677	20.43925341	36.56118969	18.34630345	19.94618616	30.56621046	19.31901031	24.62687219	42.74534507	17.1777344	29.4490205	19.42001527	19.32453182	24.88711268	34.46651793
gbr.104.63.t1	37.33239825	39.26040665	30.77475622	45.20064476	30.85768946	37.13724316	111.7996665	112.8311548	95.27732158	21.64287276	24.91434254	27.22564417	68.90353142	61.25488693	47.02818256	8.635585223	9.019149584	13.88079273	103.6876448	247.824579	76.81119535	56.74319196	75.13745842	46.87644797
gbr.105.12.t1	34.40151972	27.99322496	50.74638766	34.99986429	24.98296141	42.40978506	32.06094062	27.74776712	37.87466984	45.88972915	52.79260647	76.84915233	35.43589721	37.53564515	65.2250247	44.23238271	32.37504359	73.61544576	35.66911861	70.37447566	93.06757489	37.52706462	39.11453205	62.82686289
gbr.106.50.t1	2518.317476	2660.306225	2253.826254	1806.897684	1877.991078	1852.587326	2045.913612	1538.121392	2850.663549	1782.242132	1526.262934	1723.726327	2299.380667	2228.81652	2268.538599	1714.962673	1608.10838	2191.705576	1924.913648	1690.651084	2445.294655	2013.232556	1875.751088	2226.620327
gbr.107.20.t1	2.998239598	5.643540582	6.635462752	1.46752609	5.101880248	5.626705597	2.597938051	4.336777017	6.92916525	6.310298032	10.11252807	21.59156025	6.52053083	9.47650688	12.33738787	4.328820765	7.157864763	27.53366348	409.1016382	97.96057668	829.0780328	61.90357022	19.96995346	129.9617111
gbr.108.12.t1	171.059859	168.8934052	211.4667018	156.0416759	162.6784948	170.9251473	433.4602298	397.7930628	433.6015845	91.72910659	90.56874457	135.0455356	153.6398231	136.5153831	146.257493	174.9729236	202.3352763	251.9748137	108.0272411	163.3843831	146.8748783	184.1329799	188.88125	213.7351649
gbr.109.12.t1	19.06687921	16.99875523	21.26776848	84.37748999	49.43077353	77.28452917	1923.936066	1232.240693	1871.759496	3.415048685	2.764991956	4.084927222	19.19829086	19.01696283	14.74538155	9.480087351	8.410978394	11.54675187	0.702556145	0.444321152	7.620255981	294.3109169	189.901068	286.9013015
gbr.11.101.t1	39.61866848	41.44005775	59.08065669	53.62359828	47.0959112	61.43615564	21.56055012	25.86739685	20.1605124	39.07557118	49.0343292	69.84023676	37.00400806	49.75125777	57.24235606	66.11669047	55.12590106	80.32625029	23.17038684	26.01335881	37.07995288	40.02421049	42.04688752	55.02373153
gbr.11.153.t1	1.203497191	2.305866864	0.712566114	1.135948488	1.350526005	1.992942278	1.596841108	0.969196586	0.704092542	49.78702843	53.51150157	107.3832894	20.09402503	22.34329303	24.28194094	1.706424628	3.200725042	2.222236599	1.302388391	0.466715039	8.797303532	10.97516475	12.02111773	20.87062449
gbr.11.177.t1	15.91245838	13.24248464	22.59882752	14.99516285	14.44890392	19.48149638	14.91402441	10.0087757	25.26317798	12.96153406	18.29367417	22.07526602	20.73328336	22.84998009	18.92661502	16.95883781	12.23214396	29.2034064	16.22875291	18.86925261	28.06112413	16.10057911	15.7064593	23.65855906
gbr.11.187.t1	177.4825129	178.7474461	213.2440581	189.2033961	175.6972545	210.0147134	423.1707232	425.7683475	502.4081203	106.2381241	109.9730636	143.0280288	192.7705295	194.1502038	213.5161278	100.4924087	109.951842	131.1373145	169.4682558	201.4641531	224.8264308	194.1179929	199.3931872	234.0249705
gbr.11.216.t1	123.6758629	132.3198642	168.8287665	105.2111628	112.9727022	209.4013623	333.1767488	371.5370119	570.2277798	58.43681444	68.06278475	143.6128759	95.63861771	80.61070472	161.0345456	84.04129037	134.0632999	220.6655117	38.72344708	58.71403557	95.49714286	119.8434206	136.8972005	224.1811407
gbr.11.22.t1	25.7463573	32.75130535	39.32649042	21.26058075	28.24856281	34.68143513	22.27965573	30.09593398	35.95777705	18.90100756	28.61569683	30.02517358	20.49973238	22.97630883	37.56919148	24.21660321	28.15029945	40.33130058	11.83844893	17.06777675	15.18596979	20.67748369	26.84369771	33.29676258
gbr.11.223.t1	0.498253771	0.286094354	0.287308513	0.081669355	0.125053605	0.349848797	0.692623143	1.101576466	0.513410083	1.168622419	0.785743583	1.290304923	8.26492529	6.895536117	7.159714357	4.701954021	9.521899153	19.21147024	0.51544097	0.069293687	0.178575923	2.274784138	2.683599566	4.141518977
gbr.11.32.t1_gbr.11.34.t1	17.53424341	20.52847511	30.80275364	31.136893	35.31012678	39.2316314	22.92879144	18.56058832	23.47170038	18.70956892	24.57894909	31.12426221	29.8527217	31.07315808	30.91464616	27.10497937	30.51803059	40.68486286	15.2826155	18.74990946	30.90378102	23.22140191	25.61703392	32.44766252
gbr.11.38.t1	36.01549471	36.41392845	25.541677	20.08438494	20.04530638	28.51004789	4.509702658	7.85637082	5.947432123	24.8172908	24.31733431	24.06266833	29.10267609	16.95224471	23.9665376	2.072965737	2.396625254	2.065019717	0.989189568	0.776885042	4.221871379	16.79881493	15.53695642	16.33075058
gbr.11.51.t1	1956.120827	1865.054138	2387.918983	1728.29465	1605.060471	1859.659329	2327.652134	2083.948104	3180.814778	1915.95444	1684.968721	2216.727361	1206.686876	1219.345503	1198.300606	2452.663721	2407.913901	3223.834452	1573.4044	1951.143528	2566.718518	1880.111007	1831.062052	2376.282004
gbr.11.89.t1	971.3298164	924.5807417	1032.696746	420.6704966	534.73076	555.7741323	524.4599384	675.8079259	653.4712322	185.359002	228.6880727	247.3079299	686.8512204	587.2168881	523.5404587	266.5520944	211.58517	411.841158	194.7820786	221.0689059	262.2928702	464.2863781	483.3826378	526.7035039
gbr.110.28.t1	15.00943741	16.15157675	19.82134466	18.74079771	19.20110002	21.84625929	19.26991817	12.82489669	19.87245876	5.938925394	6.437073025	7.190702513	57.04383157	43.48228839	81.4440841	10.63655853	12.34532737	32.48163994	57.09226693	92.33645369	57.8316001	26.24739082	28.96838799	34.35544134
gbr.110.51.t1	12.25776218	19.77923947	18.14208011	11.64406917	12.55562671	15.6351554	9.934838908	17.29740999	17.64229712	8.109430052	14.66695867	17.66239488	14.74952062	20.29348778	19.05702954	7.799331793	9.286622416	16.70767747	8.503059694	15.25818682	9.772109493	10.42828749	15.59107598	16.37410629
gbr.110.53.t1	116.7979262	88.57942431	169.7935546	154.3723519	104.384604	207.2581159	124.7184318	53.87876952	124.2869586	131.0927068	95.76036401	198.3697823	227.3254494	136.8294045	195.8288736	148.0136364	95.12793457	218.0907277	101.2206564	128.1937354	147.0804566	143.3630227	100.3934623	180.1012099
gbr.110.64.t1	46.36146435	41.89122851	73.66566599	61.02300654	55.16007616	81.43222419	45.70533153	38.1734546	57.48202337	94.72559108	96.58715964	161.7948576	105.5945082	88.01446016	125.6358029	76.52646897	59.10796659	110.9380612	76.49804499	51.45839129	98.2799784	72.34777367	61.48467671	101.3183734
gbr.111.53.t1	1766.746957	1806.064406	1754.49957	3627.773512	2497.671179	3368.382367	8154.378982	7673.791624	8348.27472	565.5002548	499.8792412	570.4359424	1421.996351	1511.461846	1447.102455	944.8562892	689.6465445	1349.292386	2663.704348	4271.166139	2828.870974	2734.993813	2707.097283	2809.551202
gbr.111.54.t1	47.04431639	52.39201326	58.05846428	126.497911	113.7709462	129.5441161	40.25637238	65.05936231	89.37032726	23.20692668	24.6202909	18.06321682	25.61083168	40.60222848	33.59371772	309.3228307	309.1214713	684.4194556	6.261468547	4.636367005	15.03953258	82.60009391	87.17181135	146.8698329
gbr.111.56.t1	224.4224762	217.3285834	336.4722557	767.0904433	612.3365753	636.829709	168.8641567	257.5655093	531.4202746	83.10182719	81.53133191	80.85517472	142.9119223	204.78496	197.6519056	1439.739375	1447.197589	3497.271388	38.93543976	23.64727003	149.0314425	409.2950915	406.3416884	775.64745
gbr.112.45.t1	15.71513934	12.92064804	10.64680916	5.235064495	7.568967497	9.322970611	181.7118267	186.5823976	245.0735724	170.7174657	188.0960474	187.4036953	165.2459826	134.7938226	151.1545611	16.82442188	16.40034192	41.75441871	9.589115702	4.576655661	37.94189132	80.71985949	78.70555439	97.61398837
gbr.112.49.t1	36.37124584	35.22817933	47.33056947	50.64520599	43.15093119	63.66497617	43.96496548	34.6128988	50.57209531	40.38785151	39.56080818	57.08157374	67.36215744	69.73830115	78.81454547	60.06345048	59.83346963	95.35243474	94.62049998	127.0049985	139.2571275	56.20219667	58.44708383	76.01047463
gbr.112.8.t1	13.99747892	16.12826851	19.21771164	8.501092039	10.11822549	21.99097671	3.061790753	3.540874479	5.457818074	20.58179054	19.54077535	36.83759046	33.35800052	27.30608589	32.26553624	13.81429627	11.66315666	24.26638488	43.5482252	9.388029705	57.80459053	19.55181061	13.95505944	28.26294408
gbr.113.12.t1	12.28279815	19.14931427	39.05026813	9.785565905	18.60144188	40.52259335	7.400953035	11.94632347	20.00153696	18.64593716	28.3928166	51.23344892	34.93243424	37.51584582	53.76151032	14.32540124	14.00183876	46.33965939	21.10917708	14.34843548	109.8865635	16.92603812	20.56514518	51.5422258
gbr.113.27.t1	1.051969061	0.455359703	0.373259419	0.45112615	0.571623432	0.571126863	0.012655479	0.04779129	0.210883896	1.023521913	1.214187592	1.421352291	1.323099092	1.843355088	2.697592785	5.393061251	14.18012552	23.04808661	0.811903217	1.051471206	2.071935005	1.43819088	2.766273404	4.342033838
gbr.114.7.t1	15.53712393	15.78757071	24.49339665	14.27094836	18.65268379	20.80432982	3.813035345	6.573011061	4.977533727	11.26662508	17.04804783	18.68527965	11.18610154	13.52610272	20.68228546	9.486023143	14.58278153	14.46261686	6.051204962	1.750659765	12.1242604	10.23015177	12.56012249	16.60424322
gbr.117.34.t1	295.6318644	315.9391701	455.5337421	202.0309986	226.3990613	249.0016939	416.3707516	366.5593843	485.1656728	218.7092386	229.753826	314.0152492	385.5141035	393.9450943	354.812844	300.4013509	431.0759433	403.7356003	245.8861062	272.6237202	317.6622162	294.9349163	319.4708856	368.5610026
gbr.117.35.t1	19.28495115	18.83195374	26.88820247	21.51262473	21.60277166	29.0364623	13.83005846	8.581041085	11.62266696	24.67343851	30.8317163	40.57823194	26.80350299	27.191305	33.13541602	30.11717463	24.36739587	35.416904	17.18113672	21.43878013	27.12076677	21.91469817	21.83499483	29.11409292
gbr.118.15.t1	1794.032034	2092.870781	2695.37486	1834.097852	2428.952453	2858.553352	2295.188943	2533.813926	3605.093196	1180.682092	1528.591843	2204.405961	462.7895048	1124.858981	783.7686714	1893.573845	2795.625536	2551.152639	272.9365204	260.7488463	603.096059	1390.471542	1823.637481	2185.920677
gbr.12.7.t1	9.638800485	6.30132047	9.510816254	9.609990702	6.99367555	12.8457721	11.00364843	9.448655297	17.84034936	46.88321221	40.24657567	63.29759342	35.91681799	19.94090111	43.65852032	23.5223238	9.512007806	21.49787655	9.524991257	4.899701088	25.70418963	20.87139784	13.90611957	27.7650168
gbr.120.8.t1	4.585826954	1.851706353	9.149836262	7.958779151	7.288883151	23.25941668	0.501753403	2.378195588	7.240454037	5.763055882	10.98437074	28.51633558	108.9742196	105.8173096	120.8035609	0.430712815	1.380418309	10.5281787	72.37451501	209.9083545	207.9130735	28.65555183	48.51560546	58.20155081
gbr.123.20.t1	11.40920897	15.40723464	14.15504439	23.95464883	25.17841725	39.16937484	0.255884789	0.395868111	0	0	0	0	0.243671034	0	0	4.456803783	3.661192031	24.12802636	0	0	0	5.760031058	6.37753029	11.06463508
gbr.123.3.t1	23.07189544	20.12193258	19.33335147	22.56663785	29.38413736	30.79084844	23.5478722	25.28891917	32.50296482	156.0399372	279.8867806	220.0562458	137.5161837	191.1288836	151.0438509	84.43671774	101.3910866	68.62281516	35.23925633	27.15306797	140.7225451	68.91692864	96.33640113	94.72466024
gbr.124.20.t1	27.71449023	19.54224651	66.2218977	27.41661279	11.72311023	45.23841556	66.30062063	30.32107084	102.6304054	8.442949842	2.413891229	27.62847349	28.57475175	7.387896139	28.55284344	19.73825365	8.960351796	48.69363279	34.59193255	7.171309995	80.08503806	30.39708735	12.50283953	57.00724378
gbr.124.24.t1	42.60943723	43.59520003	104.0805805	49.57689272	44.72128774	93.48811764	32.625847	23.84365983	94.57224608	65.70582968	43.31112942	124.8324345	62.54203981	34.17672025	59.3555326	51.81220473	35.49137614	124.3584342	59.07053688	47.28120638	132.3520426	51.99182686	38.91722568	104.7199126
gbr.124.36.t1	1.958351931	2.502387243	2.404141898	8.544177498	1.785777789	3.776515749	16171.93657	11978.81385	14514.61327	12.73238377	9.963779189	16.07087223	13.24136999	23.64166856	12.95357965	11.81763897	15.82781222	4.689704336	4.004171379	1.672136272	30.7583372	2317.747809	1719.172487	2083.609489
gbr.124.54.t1	139.3494939	135.0099601	205.3154015	114.4048982	126.7938521	144.9106848	138.5121084	116.293778	211.4382235	140.2576072	135.5954608	173.8313834	53.83703458	65.31435863	64.03839862	88.27081884	114.1339198	114.9443619	63.61599633	21.77655539	129.0028709	105.4639939	102.1311264	149.0687607
gbr.124.55.t1	77.66288703	74.77272609	109.4154127	54.5445427	46.09007908	77.5661759	113.5501746	157.3760375	212.272413	7.101115517	7.757337817	10.86459175	49.60100908	55.8114697	44.266242	22.7050324	30.18688031	71.7073633	0.642941211	2.005868902	3.624997157	46.54395751	53.42862849	75.67388512
gbr.124.63.t1	1.959402395	2.773959789	4.861052331	1.9724229	1.080882943	2.651591187	0.862931782	1.664047563	4.349130979	0.258015606	1.598727969	4.563624457	1.479927911	1.365056098	3.911802413	0.215231367	0.462362057	4.749102144	3.561197704	2.818303146	1.935341873	1.472732809	1.680477081	3.860235055
gbr.124.75.t1	33.57725204	34.23791667	36.48853794	35.65104731	33.05425412	50.80549461	25.32476506	29.3692077	26.96214906	18.22840685	23.825557	27.36936049	30.49844809	35.57391499	35.71532049	24.44978755	30.63888386	44.80039354	12.68453206	18.0013581	21.01439911	25.77346271	29.24301321	34.73652218
gbr.124.81.t1	18.77006768	21.15787619	23.40940394	12.09582976	20.43402198	16.998143	5.585546575	10.48841886	9.523273014	25.02206816	29.83471958	33.60693558	27.73925145	29.12102533	29.91804573	44.76269883	51.68088406	69.44430789	3.889127703	2.942265371	5.634978171	19.69494145	23.66560162	26.9335839
gbr.125.40.t1	12.36368858	20.7679201	14.93870951	34.85476041	42.54542213	41.46713958	26.92196872	52.5042974	45.73154028	175.1218105	353.6308183	310.2674095	273.6672191	249.7275075	341.5196314	22.30283533	36.01000248	32.42006467	3.441068148	2.988660825	20.7994857	78.38190726	108.3106612	115.3062829
gbr.126.43.t1	95.40261577	76.22983716	168.5626381	206.9470299	131.5121696	324.0529204	297.3365423	168.9245701	292.0573589	265.4990373	268.7591854	504.5914456	134.722357	157.0625196	196.2000856	214.4873948	171.4667233	235.1942216	40.06501305	37.1852961	65.54332512	179.20857	144.4486145	255.1717136
gbr.128.11.t1	6.937863477	6.926631856	12.55286077	6.611866845	9.813814619	12.31405703	4.161794169	5.961508752	6.111737254	4.606266131	3.424133121	6.350669459	102.5494626	63.29098011	82.36986318	18.09478783	19.82124467	53.65460662	0.222217192	0.715303239	0.663192858	20.45489403	15.70765948	24.8595696
gbr.128.40.t1	12.79513186	12.35557715	19.81651274	13.82565668	12.88595837	23.32689332	5.914692776	7.70855257	5.792725919	14.49601664	12.75328361	28.87972684	37.17160237	24.41415339	46.73332936	13.14182743	11.19079674	15.58490351	9.141369818	11.08088626	12.02196942	15.21232822	13.1984583	21.73658016
gbr.129.14.t1	117.7177879	125.1153833	148.7466981	82.20812413	75.8728455	109.8681548	148.9178826	119.1526091	159.4064074	80.77260296	87.90715706	115.3525013	178.9177864	135.8867334	173.1543026	108.9207274	112.5103337	174.2801929	98.3424161	197.9568674	133.7466733	116.5424754	122.0574185	144.9364186
gbr.13.33.t1	86.01632082	102.8461086	187.4159873	76.66023198	93.39091311	143.2832034	74.37622286	89.48417701	202.7921177	73.28598346	86.15344579	133.1991903	108.2112848	133.4326586	128.3835831	122.3655015	157.4196203	225.3396247	46.69231603	94.62340043	101.2733241	83.94398021	108.1929034	160.2410044
gbr.13.37.t1	12.9619395	20.92561321	23.11495473	13.74500787	17.78702985	18.38129359	24.70021738	24.74374787	41.66823471	16.11041715	19.08984674	22.73617489	14.90789479	18.51170677	17.78627398	10.76819678	26.63271482	22.42062816	9.530914044	15.25838372	13.20642969	14.67494107	20.42129185	22.75914139
gbr.13.96.t1	13.71709476	12.77680217	18.76968009	11.62756186	10.3994166	13.93688047	14.49342221	11.69267896	19.63609672	14.30136859	11.90240142	19.44022693	19.26548061	13.91985565	17.80391756	12.34150049	16.03020815	20.94010829	20.74472386	14.83143503	24.87104266	15.21302177	13.07897114	19.34256467
gbr.130.13.t1	47.32303688	49.97355613	64.69635211	33.37171488	48.60957513	45.29956889	22.28763621	29.15922729	27.72936427	46.45105664	40.3502066	129.5339062	167.9244488	139.2488656	143.9556733	52.78912303	65.18143508	120.4492686	2501.795365	4741.532351	2284.662314	410.2774831	730.5793167	402.3323496
gbr.130.16.t1	146.4352048	99.90461305	373.4045385	194.7889047	257.2447684	254.0029544	258.595445	232.2907695	686.241736	52.30663446	31.37245741	62.69845819	19.49573096	25.50914051	29.66957458	169.2483022	70.21099296	204.0476476	71.92424402	18.55719661	244.4323554	130.3992094	105.0128483	264.9281807
gbr.130.4.t1	11.46960047	11.32974736	10.89129299	10.54067928	12.07913203	16.26073551	8.363068761	7.481678982	15.95696472	19.24639248	19.51704078	22.56266656	19.52032533	19.54903827	23.4223735	12.47068028	14.27574875	12.1226481	5.251640002	5.079206631	12.7959709	12.40891237	12.75879897	16.28752175
gbr.132.24.t1	18.15749805	21.17722703	29.97269066	7.423076219	10.22874418	15.00596782	18.92059716	24.69081505	38.17912009	14.64114687	19.2353318	26.07356888	21.8340307	21.73433164	29.29422178	13.26032641	18.36953885	21.97647244	18.3539582	10.91784423	68.24539592	16.08437623	18.05054754	32.67820537
