Sample:	TFf	TFm	TFw
gbr.193.24.t1	138.5855534	133.2430098	38.1891156
gbr.188.22.t1	3.636481056	3.238080726	3.348825074
gbr.288.8.t1	33.28777088	8.903431875	15.73424012
gbr.253.35.t1	5.139518518	4.304721122	7.127264285
gbr.279.16.t1	67.09347165	75.11747502	84.06829769
gbr.234.9.t1	3.999079143	3.040325431	1.940647033
gbr.318.60.t1	43.17470267	34.88883632	43.95253211
gbr.318.31.t1	48.1167201	29.98844034	29.55703098
gbr.46.12.t1_gbr.46.13.t1	721.5017663	634.3418258	862.3157649
gbr.283.28.t1	652.0806681	712.810875	1062.88574
gbr.397.1.t1	4.346502606	2.852610085	14.34908893
gbr.20.53.t1	1169.439235	704.3858273	2018.982717
gbr.22.33.t1	0.618818587	0.494374875	0.698101556
gbr.188.14.t1	12.12915641	6.770471368	9.509603286
gbr.221.86.t1	27.67540947	21.92605382	33.96720836
gbr.160.11.t1	66.78089588	61.0181522	104.5722108
gbr.155.1.t1	29.10093342	23.21705309	39.35083752
gbr.259.27.t1	319.3398588	279.9232871	478.1237949
gbr.2.173.t1	341.9439813	330.7234429	453.6639713
gbr.46.49.t1	336.6411796	348.4924316	313.5225491
gbr.357.9.t1	132.6875394	109.1236729	130.3298273
gbr.60.105.t1	1.415681474	1.922111658	1.913412023
gbr.72.23.t1	19.72484208	18.06176011	17.845616
gbr.298.7.t1	3.502517735	2.326591768	2.361214208
gbr.12.7.t1	9.638800485	6.30132047	9.510816254
gbr.160.56.t1	10.92527425	11.23077717	7.162523813
gbr.48.48.t1	148.2038251	109.2196773	170.2054929
gbr.110.53.t1	116.7979262	88.57942431	169.7935546
gbr.256.10.t1	44.92728194	56.40936817	111.4553616
gbr.10.87.t1	79.4983092	42.93731071	105.4085022
gbr.15.64.t1	24.51625867	16.69268157	22.93728941
gbr.1.87.t1_gbr.1.88.t1	91.45515616	98.51258899	114.9952698
gbr.253.25.t1	165.8673469	148.9879479	199.3540632
gbr.128.11.t1	6.937863477	6.926631856	12.55286077
gbr.61.21.t1_gbr.61.22.t1	36.97186182	24.62863169	54.2283987
gbr.274.33.t1	18.85055186	16.63192626	26.40126073
gbr.289.32.t1_gbr.289.33.t1	38.55763117	41.17593117	30.33570929
gbr.317.12.t1	26.82931713	27.71838539	41.25856323
gbr.38.35.t1	3908.533636	3674.230201	4228.2374
gbr.1.40.t1	1.89800255	0.395033995	1.744453734
gbr.14.92.t1	43.4004743	33.85873162	69.01701973
gbr.100.55.t1	31.28609568	34.42199038	51.24162649
gbr.202.45.t1	35.04957518	37.75857023	37.53375118
gbr.215.41.t1	130.2719456	132.197377	112.8774169
gbr.136.28.t1	29.65715694	28.59047556	15.99989645
gbr.405.10.t1	45.90107477	45.34059632	61.87614301
gbr.43.58.t1	3659.288285	3533.111044	3545.527881
gbr.124.20.t1	27.71449023	19.54224651	66.2218977
gbr.44.52.t1	140.3688288	116.3903967	169.0714489
gbr.209.30.t1	24.67955233	20.11859244	28.62778505
gbr.6.246.t1	10.78249675	8.08550101	15.72399941
gbr.8.91.t1	7.911696686	6.467416898	9.127578155
gbr.106.50.t1	2518.317476	2660.306225	2253.826254
gbr.112.8.t1	13.99747892	16.12826851	19.21771164
gbr.51.75.t1	82.33075073	70.09644591	115.4023296
gbr.137.64.t1	3688.205183	3417.261047	2517.80351
gbr.360.8.t1	2589.43221	2134.064747	3095.108339
gbr.179.4.t1	9.176685817	7.457583328	15.12728433
gbr.107.20.t1	2.998239598	5.643540582	6.635462752
gbr.2.33.t1	46.30790511	41.28461214	70.82518794
gbr.54.2.t1	60.69399691	25.27908058	73.14534186
gbr.573.9.t1	140.5777035	99.032416	112.0183632
gbr.76.10.t1	1623.381634	1632.279135	1437.439964
gbr.11.38.t1	36.01549471	36.41392845	25.541677
gbr.221.46.t1	42.85345945	29.49361527	29.06352741
gbr.315.18.t1	0	0	0
gbr.124.36.t1	1.958351931	2.502387243	2.404141898
gbr.46.48.t1	240.886895	294.8759114	255.6181201
